Date;Open;High;Low;Close
01/01/23;16547,9144;16630,439;1652,123343;16625,08055
02/01/23;16625,51039;16759,34402;16572,22885;16688,47136
03/01/23;16688,84726;16760,44747;16622,37033;16679,85708
04/01/23;16680,20497;16964,58519;16667,76373;16863,23826
05/01/23;16863,47206;16884,02212;16790,28304;16836,73665
06/01/23;16836,47344;16991,99412;16716,42227;16951,96952
07/01/23;16952,11698;1697,501662;16914,19208;16955,07744
08/01/23;16954,14573;17091,14445;16924,05007;17091,14445
09/01/23;17093,9925;17389,95755;17093,9925;17196,55406
10/01/23;17192,95009;17484,72089;1716,299117;1744,629251
11/01/23;17446,36027;17987,63355;17337,995;17943,89763
12/01/23;17944,06873;19030,08764;17919,23171;18869,58806
13/01/23;18868,90594;19964,32273;18753,16426;19909,57462
14/01/23;19910,53666;21075,14183;19907,82846;20976,2998
15/01/23;2097,74842;20993,7487;20606,98724;20880,7992
16/01/23;20882,22388;21360,87428;20715,74621;21169,63278
17/01/23;21175,83326;21438,65936;20978,53362;21161,51922
18/01/23;21161,0509;21564,50221;2054,154455;20688,78073
19/01/23;20686,74591;21163,01229;20685,38118;21086,7933
20/01/23;21085,37234;22692,35783;20919,12598;22676,55176
21/01/23;22677,42738;23282,34772;22511,83313;22777,62581
22/01/23;22777,98666;23056,72965;22387,90046;22720,41563
23/01/23;22721,08867;23126,48635;22654,30447;22934,43146
24/01/23;22929,62774;23134,01205;2254,974451;22636,46931
25/01/23;22639,26717;23722,09881;22406,0755;23117,85968
26/01/23;23108,95449;23237,07717;22911,37335;23032,7776
27/01/23;23030,71729;23417,72097;22654,59341;23078,72788
28/01/23;23079,96433;23165,89588;2290,884646;23031,08978
29/01/23;23031,44924;23919,88976;22985,07013;23774,56592
30/01/23;23774,64897;23789,34718;22657,58217;228,4013891
31/01/23;22840,79609;23225,0214;22765,5685;23139,28391
01/02/23;23137,83514;23764,53929;22877,75065;23723,76965
02/02/23;23720,82352;2416,721023;23468,59528;23471,87044
03/02/23;234,6941251;23678,10258;23279,95574;23449,32162
04/02/23;23446,32073;23556,94881;23291,79566;23331,84714
05/02/23;23332,2476;23423,43561;22841,76031;22955,66602
06/02/23;22954,02196;23119,27995;22692,02598;22760,10926
07/02/23;22757,26754;2331,097507;22756,25828;23264,29119
08/02/23;23263,41513;23367,95929;2273,109821;22939,3987
09/02/23;22946,56552;22996,43751;21773,97461;21819,03991
10/02/23;21819,00642;2194,11856;21539,39283;21651,18378
11/02/23;21651,84186;21891,41056;21618,44973;21870,87406
12/02/23;21870,9025;22060,99461;21682,82877;21788,20399
13/02/23;21786,99926;21898,41384;21460,0885;21808,10177
14/02/23;21801,82315;22293,14009;21632,39398;22220,80414
15/02/23;22220,58534;24307,84133;22082,76908;24307,84133
16/02/23;24307,3502;25134,11735;2360,25225;23623,47448
17/02/23;23621,28249;24924,04006;23460,75603;24565,60199
18/02/23;24565,296;24798,83557;24468,37363;24641,27695
19/02/23;24640,02722;25093,05515;24327,64167;24327,64167
20/02/23;24336,62334;25020,45951;23927,90925;24829,14757
21/02/23;24833,04891;2512,685169;24200,36412;2443,635448
22/02/23;24437,41848;24472,33976;23644,31772;24188,84298
23/02/23;24190,71898;24572,08942;23693,91949;2394,749252
24/02/23;23946,00786;24103,70448;2300,707133;23198,12749
25/02/23;23200,12585;23210,21107;22861,55866;23175,37564
26/02/23;23174,15077;23654,36737;23084,22164;23561,21291
27/02/23;23561,45068;23857,89113;23205,87925;2352,287191
28/02/23;23521,83882;23585,38407;23077,65037;23147,35339
01/03/23;23150,92996;23880,63246;23088,6267;2364,65499
02/03/23;23647,01947;23739,13808;23245,02143;23475,46674
03/03/23;23476,63373;23479,34809;22213,23759;22362,67933
04/03/23;22362,92303;22405,17695;22198,98101;22353,35007
05/03/23;22354,1436;2261,368523;22307,14331;22435,5142
06/03/23;22436,81678;22584,29381;22331,31483;22429,75753
07/03/23;22428,32239;22527,41864;22011,2625;22219,76907
08/03/23;22216,44232;22268,89625;21708,05051;21718,07983
09/03/23;21720,07932;21802,71668;20210,30675;20363,02111
10/03/23;20367,00178;2037,05954;19628,25431;20187,24365
11/03/23;20187,87707;20792,52569;20068,66031;20632,40963
12/03/23;20628,02903;22185,03111;20448,80626;2216,394995
13/03/23;22156,40668;24550,83749;219,1819993;24197,533
14/03/23;24201,76601;26514,71717;24081,18265;24746,07466
15/03/23;2477,092567;25240,61582;2396,490985;24375,96136
16/03/23;24373,45662;25190,32698;24225,11096;2505,278972
17/03/23;250,5512322;27787,81223;24955,16906;27423,93063
18/03/23;27448,11727;27725,95342;26636,26095;26965,87976
19/03/23;26969,50379;28440,56122;26907,71627;28038,67495
20/03/23;28041,60192;28527,72422;27242,8807;27767,23633
21/03/23;27768,39203;28439,56159;27439,64709;28175,81684
22/03/23;28158,71999;28803,33592;26759,99623;27307,43677
23/03/23;27301,95749;28729,84347;27183,36374;28333,97271
24/03/23;28324,1117;28388,43775;27039,26543;27493,28514
25/03/23;27487,33774;277,918256;27196,23383;27494,70688
26/03/23;2749,552396;28178,14444;27445,04635;27994,32951
27/03/23;27994,06792;28037,92586;26606,689;27139,88853
28/03/23;27132,88892;27460,71946;26677,81873;27268,13148
29/03/23;27267,03217;28619,54339;27259,66118;2834,844234
30/03/23;2835,014149;29159,90262;27720,15934;28033,56315
31/03/23;28032,26227;28639,89608;27583,71526;28478,48461
01/04/23;28473,3318;28802,45748;28297,1725;28411,03424
02/04/23;28462,8448;28518,95841;27884,08709;28199,30838
03/04/23;28183,08036;28475,62251;27276,71995;27790,22085
04/04/23;27795,27432;28433,74298;27681,30506;28168,08982
05/04/23;2816,972695;28739,23811;27843,7645;28177,98356
06/04/23;28175,22708;28178,38431;2773,875936;28044,13975
07/04/23;28038,96697;28111,59328;27794,03183;27925,85941
08/04/23;27920,51278;28159,86278;2788,338655;27947,79455
09/04/23;27952,36762;28532,82997;27828,48141;28333,05005
10/04/23;28336,02824;297,7146393;28189,27077;29652,9801
11/04/23;2965,367965;30509,08367;29609,30137;30235,05894
12/04/23;30231,58162;3046,248094;29725,57335;3013,905287
13/04/23;29892,73946;30539,84648;29878,62216;30399,06639
14/04/23;30409,56169;31005,60804;3004,449751;30485,70003
15/04/23;30490,74927;30601,74016;3024,588194;30318,49695
16/04/23;30315,97642;30555,53763;30157,83233;30315,35546
17/04/23;30317,1457;30319,19658;29275,37106;29445,0449
18/04/23;29449,0917;30470,30201;29154,84937;30397,55274
19/04/23;30394,1879;30411,05379;28669,89827;28822,68047
20/04/23;28823,68286;29076,40105;28037,25726;28245,98731
21/04/23;28249,23127;28349,96786;27177,3653;27276,90969
